pdf_page,image_index,xref,filename,suggested_slug_path,story_id_or_timeline_id
2,1,24,page-002_img-01_xref-24.jpeg,book-images/page-002_img-01_xref-24.jpeg,
18,1,118,page-018_img-01_xref-118.jpeg,book-images/page-018_img-01_xref-118.jpeg,P1_S01
22,1,139,page-022_img-01_xref-139.jpeg,book-images/page-022_img-01_xref-139.jpeg,P1_S01
22,2,137,page-022_img-02_xref-137.jpeg,book-images/page-022_img-02_xref-137.jpeg,P1_S01
33,1,187,page-033_img-01_xref-187.jpeg,book-images/page-033_img-01_xref-187.jpeg,P1_S03
34,1,193,page-034_img-01_xref-193.jpeg,book-images/page-034_img-01_xref-193.jpeg,P1_S03
42,1,228,page-042_img-01_xref-228.jpeg,book-images/page-042_img-01_xref-228.jpeg,P1_S04
48,1,254,page-048_img-01_xref-254.jpeg,book-images/page-048_img-01_xref-254.jpeg,P1_S05
61,1,310,page-061_img-01_xref-310.jpeg,book-images/page-061_img-01_xref-310.jpeg,P1_S06
62,1,318,page-062_img-01_xref-318.jpeg,book-images/page-062_img-01_xref-318.jpeg,P1_S06
65,1,335,page-065_img-01_xref-335.jpeg,book-images/page-065_img-01_xref-335.jpeg,P1_S07
75,1,380,page-075_img-01_xref-380.jpeg,book-images/page-075_img-01_xref-380.jpeg,P1_S08
75,2,378,page-075_img-02_xref-378.jpeg,book-images/page-075_img-02_xref-378.jpeg,P1_S08
88,1,435,page-088_img-01_xref-435.jpeg,book-images/page-088_img-01_xref-435.jpeg,P1_S10
103,1,499,page-103_img-01_xref-499.jpeg,book-images/page-103_img-01_xref-499.jpeg,P1_S12
106,1,514,page-106_img-01_xref-514.jpeg,book-images/page-106_img-01_xref-514.jpeg,P1_S12
107,1,520,page-107_img-01_xref-520.jpeg,book-images/page-107_img-01_xref-520.jpeg,P1_S12
125,1,596,page-125_img-01_xref-596.jpeg,book-images/page-125_img-01_xref-596.jpeg,P1_S15
147,1,689,page-147_img-01_xref-689.jpeg,book-images/page-147_img-01_xref-689.jpeg,P1_S18
154,1,720,page-154_img-01_xref-720.jpeg,book-images/page-154_img-01_xref-720.jpeg,P1_S18
211,1,957,page-211_img-01_xref-957.jpeg,book-images/page-211_img-01_xref-957.jpeg,P1_S25
257,1,1149,page-257_img-01_xref-1149.jpeg,book-images/page-257_img-01_xref-1149.jpeg,P1_S29
263,1,1177,page-263_img-01_xref-1177.jpeg,book-images/page-263_img-01_xref-1177.jpeg,P1_S29
263,2,1175,page-263_img-02_xref-1175.jpeg,book-images/page-263_img-02_xref-1175.jpeg,P1_S29
264,1,1183,page-264_img-01_xref-1183.jpeg,book-images/page-264_img-01_xref-1183.jpeg,P1_S29
264,2,1185,page-264_img-02_xref-1185.jpeg,book-images/page-264_img-02_xref-1185.jpeg,P1_S29
270,1,1212,page-270_img-01_xref-1212.jpeg,book-images/page-270_img-01_xref-1212.jpeg,P1_S30
287,1,1284,page-287_img-01_xref-1284.jpeg,book-images/page-287_img-01_xref-1284.jpeg,P1_S33
287,2,1286,page-287_img-02_xref-1286.jpeg,book-images/page-287_img-02_xref-1286.jpeg,P1_S33
288,1,1292,page-288_img-01_xref-1292.jpeg,book-images/page-288_img-01_xref-1292.jpeg,P1_S33
289,1,1299,page-289_img-01_xref-1299.jpeg,book-images/page-289_img-01_xref-1299.jpeg,P1_S33
299,1,1342,page-299_img-01_xref-1342.jpeg,book-images/page-299_img-01_xref-1342.jpeg,P1_S34
307,1,1378,page-307_img-01_xref-1378.jpeg,book-images/page-307_img-01_xref-1378.jpeg,P1_S35
315,1,1413,page-315_img-01_xref-1413.jpeg,book-images/page-315_img-01_xref-1413.jpeg,P1_S36
315,2,1415,page-315_img-02_xref-1415.jpeg,book-images/page-315_img-02_xref-1415.jpeg,P1_S36
334,1,1495,page-334_img-01_xref-1495.jpeg,book-images/page-334_img-01_xref-1495.jpeg,P1_S39
