story_id,part,title,slug,printed_start,printed_end,pdf_start,pdf_end,txt_path,md_path,pdf_path,word_count,char_count
P1_S01,P1,A T owhead from the Red Clay Hills,A_T_owhead_from_the_Red_Clay_Hills,1,6,16,21,out/txt/P1_S01_A_T_owhead_from_the_Red_Clay_Hills.txt,out/stories_md/P1_S01_A_T_owhead_from_the_Red_Clay_Hills.md,out/pdf/P1_S01_A_T_owhead_from_the_Red_Clay_Hills.pdf,1317,7718
P1_S02,P1,A Very Busy T eenager,A_Very_Busy_T_eenager,7,14,22,29,out/txt/P1_S02_A_Very_Busy_T_eenager.txt,out/stories_md/P1_S02_A_Very_Busy_T_eenager.md,out/pdf/P1_S02_A_Very_Busy_T_eenager.pdf,2456,13985
P1_S03,P1,A Remarkable T eacher’s Legacy,A_Remarkable_T_eachers_Legacy,15,20,30,35,out/txt/P1_S03_A_Remarkable_T_eachers_Legacy.txt,out/stories_md/P1_S03_A_Remarkable_T_eachers_Legacy.md,out/pdf/P1_S03_A_Remarkable_T_eachers_Legacy.pdf,970,5649
P1_S04,P1,On My Honor,On_My_Honor,21,28,36,43,out/txt/P1_S04_On_My_Honor.txt,out/stories_md/P1_S04_On_My_Honor.md,out/pdf/P1_S04_On_My_Honor.pdf,2129,12118
P1_S05,P1,A Would-be Music Man,A_Would-be_Music_Man,29,36,44,51,out/txt/P1_S05_A_Would-be_Music_Man.txt,out/stories_md/P1_S05_A_Would-be_Music_Man.md,out/pdf/P1_S05_A_Would-be_Music_Man.pdf,2116,11789
P1_S06,P1,"Bayne Cobb, Exemplar of a Dad",Bayne_Cobb_Exemplar_of_a_Dad,37,46,52,61,out/txt/P1_S06_Bayne_Cobb_Exemplar_of_a_Dad.txt,out/stories_md/P1_S06_Bayne_Cobb_Exemplar_of_a_Dad.md,out/pdf/P1_S06_Bayne_Cobb_Exemplar_of_a_Dad.pdf,2843,15921
P1_S07,P1,Frances Cobb/u2014.dA Spool of Blue Thread,Frances_Cobbu2014dA_Spool_of_Blue_Thread,47,56,62,71,out/txt/P1_S07_Frances_Cobbu2014dA_Spool_of_Blue_Thread.txt,out/stories_md/P1_S07_Frances_Cobbu2014dA_Spool_of_Blue_Thread.md,out/pdf/P1_S07_Frances_Cobbu2014dA_Spool_of_Blue_Thread.pdf,2474,14030
P1_S08,P1,Blue and Ruby Cole,Blue_and_Ruby_Cole,57,62,72,77,out/txt/P1_S08_Blue_and_Ruby_Cole.txt,out/stories_md/P1_S08_Blue_and_Ruby_Cole.md,out/pdf/P1_S08_Blue_and_Ruby_Cole.pdf,1546,8515
P1_S09,P1,A Work Ethic Develops,A_Work_Ethic_Develops,63,70,78,85,out/txt/P1_S09_A_Work_Ethic_Develops.txt,out/stories_md/P1_S09_A_Work_Ethic_Develops.md,out/pdf/P1_S09_A_Work_Ethic_Develops.pdf,2495,13759
P1_S10,P1,Roominations,Roominations,71,76,86,91,out/txt/P1_S10_Roominations.txt,out/stories_md/P1_S10_Roominations.md,out/pdf/P1_S10_Roominations.pdf,1762,9900
P1_S11,P1,Early Wanderlust,Early_Wanderlust,77,84,92,99,out/txt/P1_S11_Early_Wanderlust.txt,out/stories_md/P1_S11_Early_Wanderlust.md,out/pdf/P1_S11_Early_Wanderlust.pdf,2080,11827
P1_S12,P1,By the Light of the Silvery Moon,By_the_Light_of_the_Silvery_Moon,85,92,100,107,out/txt/P1_S12_By_the_Light_of_the_Silvery_Moon.txt,out/stories_md/P1_S12_By_the_Light_of_the_Silvery_Moon.md,out/pdf/P1_S12_By_the_Light_of_the_Silvery_Moon.pdf,1447,8078
